@relation filtered-set
@attribute #webpage {allocine.fr,amazon.com,booking.com,bouyguestelecom.fr,free.fr,imdb.com,chinadaily.com.cn,labanquepostale.fr,lcl.fr,leroymerlin.fr,pole-emploi.fr,stackoverflow.com,imbd.com}
@attribute unsharded string
@attribute url {http://www.allocine.fr,http://www.amazon.com/gp/gw/ajax/s.html,http://www.booking.com/index.it.html,http://www.bouyguestelecom.fr,http://www.free.fr/adsl,http://www.imdb.com,http://www.chinadaily.com.cn,http://www.labanquepostale.fr,http://particuliers.secure.lcl.fr/index.html,http://www.leroymerlin.fr,http://www.pole-emploi.fr/accueil,http://stackoverflow.com}
@attribute atf_imgs numeric
@attribute onload numeric
@attribute dom numeric
@attribute atf-inst numeric
@attribute atf-mult numeric
@attribute not-btf numeric
@attribute oi-plt numeric
@attribute oi-atf numeric
@attribute bi-plt numeric
@attribute bi-atf numeric
@attribute ii-plt numeric
@attribute ii-atf numeric
@attribute avg_connections numeric
@attribute bandwidth {-1,10mbit,infty}
@attribute bytes_css numeric
@attribute bytes_css_ratio numeric
@attribute bytes_html numeric
@attribute bytes_html_ratio numeric
@attribute bytes_img numeric
@attribute bytes_img_ratio numeric
@attribute bytes_in numeric
@attribute bytes_js numeric
@attribute bytes_js_ratio numeric
@attribute bytes_mean numeric
@attribute bytes_oth numeric
@attribute bytes_oth_ratio numeric
@attribute bytes_out numeric
@attribute bytes_sdev numeric
@attribute bytes_tot numeric
@attribute bytesperconn_mean numeric
@attribute bytesperconn_sdev numeric
@attribute bytesperdom_mean numeric
@attribute bytesperdom_sdev numeric
@attribute connections numeric
@attribute count_pixels numeric
@attribute counter numeric
@attribute datName string
@attribute datOK {True}
@attribute datSize numeric
@attribute dateEpoch numeric
@attribute dateHuman string
@attribute delay {False,True}
@attribute domains numeric
@attribute grade numeric
@attribute harName string
@attribute harOK {True}
@attribute harSize numeric
@attribute heterog string
@attribute homog string
@attribute latency numeric
@attribute loss {1,0,2}
@attribute lossy {True,False}
@attribute obj200 numeric
@attribute obj404 numeric
@attribute obj_css numeric
@attribute obj_css_ratio numeric
@attribute obj_html numeric
@attribute obj_html_ratio numeric
@attribute obj_img numeric
@attribute obj_img_ratio numeric
@attribute obj_js numeric
@attribute obj_js_ratio numeric
@attribute obj_oth numeric
@attribute obj_oth_ratio numeric
@attribute obj_tot numeric
@attribute objperconn_mean numeric
@attribute objperconn_sdev numeric
@attribute objperdom_mean numeric
@attribute objperdom_sdev numeric
@attribute page_img_ratio numeric
@attribute persID {040acc,04d960,1.37e+62,14b2af,18fc23,19d942,23b912,26a0fd,2839ea,2ac5d5,2c6f75,33bacc,364d64,37edea,3e877e,463666,4ee49c,51607c,58bfd0,5fcd87,5fe6d6,68b943,716e0e,719999,7368fb,785646,7c53d3,7cd9d3,7f9dd6,8f92ac,8fd10e,9f7d2c,ad9f71,b07b16,b16ad3,c2e336,c49eb1,c8f1ae,cc7877,cdbbc7,d69bdc,dec6da,e73a20,ed80e6,f0b004,f26cb9,f62160,fbf6af,fc3224,07f8f8,100163,19c9bb,1d78c4,1ffaec,2a46d1,3311000000.0,3386f7,3500b0,38cf83,39b29a,4c8a00,4ff3ff,518423,549ab8,6.5e+76,6c250c,8298ac,83bf1e,86a6ea,882003,8e6aff,9281db,98c959,a4f659,ad0dd9,b54504,bcf06f,be5e5a,c74cde,c9b7cb,d221e5,d223ea,d2c41b,d84b48,df72c8,e58463,eac9a4,f0f583,f7abdb,01cec1,04f2f4,0b62eb,0e7b09,107ad9,114fd9,12f604,135d2d,138a13,147b97,15c957,167305,1e1d5d,235fed,247ad4,29097c,296d8e,2ef8dc,302dfb,30be8b,314773,3abd57,3df5f0,3e862b,inf,49b7d0,4e6a16,52d028,534c02,550b06,5c90de,5dee94,5fefb5,62900000.0,686c95,69cc50,6b5b65,6b99b2,6cce0e,6de4ff,6e6f78,6f7309,70d0e2,718ce6,724f04,7416ec,742514,7f4fe8,7fb122,8209fd,882589,8b4764,9188b3,989f75,9e5c50,9f2fd2,a83cd3,aab86e,ae8614,aec858,afe241,b0121b,b0a217,b5d774,b6fe56,b87432,bb5de2,bb93fe,bf1771,c06a6e,c1d260,c36c25,c418a7,c56749,c88796,ca0570,cb13bd,d4baae,d73891,e2a19c,e3d495,e89f2c,ed8fc9,f14956,f1e1af,f2351d,f280f1,f55535,f79789,f8865d,f99230,faf77c,50591d,5ed20f,039df7,37bc6d,3ee46d,416980,42bf29,42c271,54fd24,59ed21,75b982,7d1793,80c85b,8b97f4,92cc59,931670,946b8b,9d1800,9d940b,a2e3c0,a928dd,aa6119,b0d900,b89f20,be715d,c0f19a,da72e6,f78063,69acbb}
@attribute proto {H2,HTTP/1.1}
@attribute rttperbyte_mean numeric
@attribute rttperbyte_sdev numeric
@attribute rttperdom_mean numeric
@attribute rttperdom_sdev numeric
@attribute rttperobj_mean numeric
@attribute rttperobj_sdev numeric
@attribute ttfb numeric
@attribute ttlb numeric
@attribute uReviews numeric
@data
imdb.com,False,http://www.imdb.com,8.0,2269,1022,257.32899999983965,1652.3719999998739,1895.668999999865,1259.11373333,1022.0,1300.60943437,1022.0,1180.79711607,1022.0,1.0,-1,77468,0.055,167713,0.119,746077,0.528,1360390,260787,0.185,12620.33,161432,0.114,53087,21248.462,1413477,74393.526,154467.232,74393.526,154467.232,19,268038.0,1,040acc_imdb.com_1.dat,True,16053,1458653475,Tue_Mar_22_13:31:15_UTC_2016,False,19,2,040acc_imdb.com_1.har,True,470475,False,True,0,1,True,105,6,7,0.062,21,0.188,67,0.598,11,0.098,6,0.054,112,5.895,11.796,5.895,11.796,0.291,040acc,H2,0.0,-1.0,0.0,0.0,0.0,0.0,27,1896,29
allocine.fr,False,http://www.allocine.fr,8.0,1486,1364,1121.606999999852,1354.2880000000023,1354.2880000000023,1364.463,1364.0,1364.00848836,1364.0,1364.0,1364.0,1.0,-1,82668,0.041,29914,0.015,1326994,0.66,1968614,422524,0.21,17946.268,147882,0.074,41368,28104.132,2009982,118234.235,184116.998,118234.235,184116.998,17,416640.0,0,04d960_allocine.fr_0.dat,True,16074,1458653619,Tue_Mar_22_13:33:39_UTC_2016,True,17,5,04d960_allocine.fr_0.har,True,424538,False,True,20,0,False,111,0,3,0.027,1,0.009,90,0.804,14,0.125,4,0.036,112,6.588,6.499,6.588,6.499,0.452,04d960,H2,20.0,-1.0,20.0,0.0,20.0,0.0,129,1512,55
allocine.fr,False,http://www.allocine.fr,8.0,1743,1463,978.560000000098,1441.6219999998866,1481.8620000000392,1467.05655856,1463.0,1463.88866476,1463.0,1465.86326338,1463.0,2.0,-1,83710,0.041,30140,0.015,1350988,0.662,1998455,426474,0.209,18212.705,148511,0.073,41368,28103.745,2039823,59994.794,69446.564,119989.588,185602.591,34,416640.0,1,04d960_allocine.fr_1.dat,True,15647,1458653638,Tue_Mar_22_13:33:58_UTC_2016,True,17,5,04d960_allocine.fr_1.har,True,444752,False,True,20,0,False,111,0,3,0.027,1,0.009,90,0.804,14,0.125,4,0.036,112,3.294,2.395,6.588,6.499,0.452,04d960,HTTP/1.1,20.0,-1.0,20.0,0.0,20.0,0.0,129,1742,55
amazon.com,False,http://www.amazon.com/gp/gw/ajax/s.html,10.0,1369,1036,515.4580000000203,991.624000000269,1026.2640000000483,1036.0,1036.0,1036.0,1036.0,1036.0,1036.0,1.0,-1,45169,0.021,120239,0.056,1853927,0.859,2090794,139415,0.065,12624.269,0,0.0,67956,15948.893,2158750,539687.5,876122.786,539687.5,876122.786,4,647500.0,0,04d960_amazon.com_0.dat,True,15658,1458653669,Tue_Mar_22_13:34:29_UTC_2016,True,4,5,04d960_amazon.com_0.har,True,624488,False,True,10,0,False,144,27,5,0.029,29,0.17,130,0.76,7,0.041,0,0.0,171,42.75,71.737,42.75,71.737,0.703,04d960,H2,10.0,-1.0,10.0,0.0,10.0,0.0,77,1026,55
amazon.com,False,http://www.amazon.com/gp/gw/ajax/s.html,10.0,1286,772,1112.931000000117,1112.931000000117,1241.6020000001208,871.442875,868.85434965,872.215308287,872.037405536,806.325842279,805.183120271,2.25,-1,46730,0.021,117235,0.053,1889985,0.861,2130956,141713,0.065,13553.475,0,0.0,64707,16137.078,2195663,243962.556,163954.385,548915.75,890587.393,9,647500.0,1,04d960_amazon.com_1.dat,True,15699,1458653704,Tue_Mar_22_13:35:04_UTC_2016,True,4,5,04d960_amazon.com_1.har,True,624499,False,True,10,0,False,144,18,5,0.031,20,0.123,130,0.802,7,0.043,0,0.0,162,18.0,12.019,40.5,67.263,0.703,04d960,HTTP/1.1,10.0,-1.0,10.0,0.0,10.0,0.0,78,1242,55
booking.com,False,http://www.booking.com/index.it.html,0.0,2094,1488,1862.1100000001952,1862.1100000001952,1862.1100000001952,1517.89207692,1505.96301587,1495.45242516,1494.23294681,1490.74518751,1490.74518751,3.0,-1,178637,0.172,101901,0.098,374669,0.361,1006254,360709,0.348,15244.368,20701,0.02,30363,25062.493,1036617,69107.8,45111.651,207323.4,201847.059,15,0.0,0,04d960_booking.com_0.dat,True,15684,1458653833,Tue_Mar_22_13:37:13_UTC_2016,True,5,5,04d960_booking.com_0.har,True,284448,False,True,50,0,False,66,2,6,0.088,3,0.044,47,0.691,11,0.162,1,0.015,68,4.533,1.668,13.6,13.124,0.0,04d960,HTTP/1.1,50.0,-1.0,50.0,0.0,50.0,0.0,284,2147,55
booking.com,False,http://www.booking.com/index.it.html,0.0,2003,1424,1747.514000000052,1747.514000000052,1747.514000000052,1450.2918,1444.20975,1430.3218986,1430.19939435,1426.11749308,1426.11749308,1.0,-1,176838,0.174,101155,0.099,361901,0.356,987088,357077,0.351,14962.485,20478,0.02,30361,25043.47,1017449,203489.8,198007.614,203489.8,198007.614,5,0.0,1,04d960_booking.com_1.dat,True,15678,1458653869,Tue_Mar_22_13:37:49_UTC_2016,True,5,5,04d960_booking.com_1.har,True,271763,False,True,50,0,False,66,2,6,0.088,3,0.044,47,0.691,11,0.162,1,0.015,68,13.6,13.124,13.6,13.124,0.0,04d960,H2,50.0,-1.0,50.0,0.0,50.0,0.0,288,2056,55
bouyguestelecom.fr,False,http://www.bouyguestelecom.fr,2.0,958,869,295.8010000003269,726.2369999996833,726.2369999996833,869.0,869.0,869.0,869.0,869.0,869.0,1.0,-1,25716,0.04,15484,0.024,309895,0.477,636010,298760,0.46,19692.576,0,0.0,13845,35651.867,649855,72206.111,170572.6,72206.111,170572.6,9,46741.0,0,04d960_bouyguestelecom.fr_0.dat,True,15679,1458653899,Tue_Mar_22_13:38:19_UTC_2016,True,9,5,04d960_bouyguestelecom.fr_0.har,True,145455,False,True,10,0,False,31,2,3,0.091,3,0.091,19,0.576,8,0.242,0,0.0,33,3.667,5.907,3.667,5.907,0.051,04d960,H2,10.0,-1.0,10.0,0.0,10.0,0.0,73,970,55
bouyguestelecom.fr,False,http://www.bouyguestelecom.fr,2.0,976,872,267.33400000012625,707.4889999996943,707.4889999996943,872.0,872.0,872.0,872.0,872.0,872.0,1.66666666667,-1,26678,0.04,16134,0.024,314665,0.478,644974,301340,0.457,19964.152,0,0.0,13843,35669.092,658817,43921.133,70030.636,73201.889,172311.75,15,46741.0,1,04d960_bouyguestelecom.fr_1.dat,True,15709,1458653941,Tue_Mar_22_13:39:01_UTC_2016,True,9,5,04d960_bouyguestelecom.fr_1.har,True,151697,False,True,10,0,False,31,2,3,0.091,3,0.091,19,0.576,8,0.242,0,0.0,33,2.2,2.197,3.667,5.907,0.051,04d960,HTTP/1.1,10.0,-1.0,10.0,0.0,10.0,0.0,73,989,55
chinadaily.com.cn,False,http://www.chinadaily.com.cn,7.0,1605,1463,1326.1209999998846,1532.2619999999515,1532.2619999999515,1463.68625238,1463.0,1463.35334199,1463.0,1463.03950202,1463.0,1.8,-1,24949,0.008,88025,0.03,2714820,0.919,2875810,106347,0.036,13932.193,19484,0.007,77815,36782.137,2953625,109393.519,173875.88,196908.333,601412.888,27,384133.0,0,04d960_chinadaily.com.cn_0.dat,True,15688,1458653983,Tue_Mar_22_13:39:43_UTC_2016,False,15,4,04d960_chinadaily.com.cn_0.har,True,843525,False,True,0,0,False,211,1,5,0.024,50,0.236,133,0.627,20,0.094,4,0.019,212,7.852,9.071,14.133,28.856,0.417,04d960,HTTP/1.1,0.0,-1.0,0.0,0.0,0.0,0.0,30,1610,55
